gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000096780	-0.0018266384	-0.08504866	-0.153388	-0.01564887	0.023892388	-0.06790921
ENSMUSG00000032624	0.04487291	0.282679	0.0869511	0.18277648	0.05587702	0.18851605
ENSMUSG00000033382	0.035001833	0.41124147	0.09337383	0.21598533	0.030532029	0.25258636
ENSMUSG00000031481	0.016210668	-0.10094566	0.020477068	-0.1570649	0.038000215	-0.08094421
ENSMUSG00000115022	0.025215067	0.22644667	-0.10134149	0.13936004	0.012224226	0.14494596
ENSMUSG00000060073	0.069566704	0.45397678	0.36383495	0.25093946	0.07937795	0.20486657
ENSMUSG00000108584	0.068445854	-0.038927373	0.3574767	0.28034416	0.03753936	-0.011922637
ENSMUSG00000048799	0.013747348	0.30626553	-0.10302305	0.24496228	0.0034141215	0.23052455
ENSMUSG00000097577	0.12147264	0.34006208	0.46056235	0.25074798	0.0982395	0.21461956
ENSMUSG00000086392	0.024702696	0.21990009	-0.1241569	0.1985208	-0.0061380486	0.1530639
ENSMUSG00000031144	0.08469626	-0.013552664	0.48825347	0.16334523	0.042004507	-0.015787866
ENSMUSG00000070372	0.0387659	0.38198128	0.067936845	0.2455282	0.053352173	0.26471266
ENSMUSG00000047592	0.008387965	-0.14474599	-0.10332059	-0.13162142	-0.07165857	-0.077122726
ENSMUSG00000075232	0.12027878	0.41550368	0.41395888	0.31984577	0.12533511	0.20884468
ENSMUSG00000021277	0.034495767	0.13749073	-0.010945797	0.031072827	0.039370935	0.14302859
ENSMUSG00000006356	0.097989865	0.2406758	0.2869628	0.18422906	0.08773812	0.14861013
ENSMUSG00000087153	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000048779	0.04574311	-0.09092374	0.0740919	-0.02282981	0.06740769	-0.030334808
ENSMUSG00000042256	0.010997776	-0.10300266	-0.1726701	-0.028031975	-0.057209376	0.04352622
ENSMUSG00000064373	0.017248755	-0.064687125	-0.19683774	-0.054366898	0.033238642	0.004201718
