gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000028789	0.05423381	0.12607425	0.09419609	0.118134	0.012572225	0.06888431	0.06568395	0.08944513	0.022618605	0.0071074376	0.019637184	0.086701274
ENSMUSG00000038387	0.05819557	0.14156415	0.023191439	0.07367387	0.027978044	0.01505008	-0.012881855	0.053224247	0.0069604465	0.011087482	-0.013100081	-0.004922866
ENSMUSG00000030556	0.03591564	0.15857184	0.014594015	0.17504358	-0.012766747	0.036475834	0.026426945	0.101818204	0.021295846	0.006420643	0.009154698	0.0770032
ENSMUSG00000110843	-0.0072116167	-0.5132453	-0.049619693	-0.48670015	0.00011491787	-0.017887697	0.003417697	-0.3018207	-0.011370499	-0.104931846	-0.03874382	-0.012671519
ENSMUSG00000004558	0.04660109	0.09290724	0.01723341	0.14811422	0.03356434	0.016502637	0.022031063	0.1244459	-0.004287428	0.008498158	-0.015191247	0.10090227
ENSMUSG00000026197	0.042320725	0.1580224	0.06761567	0.09239013	0.011883444	0.044059154	0.012463421	0.12167909	0.02197896	0.009448946	-0.0061864294	0.08608991
ENSMUSG00000061393	0.04799966	0.11986881	0.07204978	0.17581324	0.025081491	0.05656966	0.0657162	0.10461369	0.02749728	0.0017032257	0.024722604	0.05813875
ENSMUSG00000080990	-0.020073954	-0.06550253	-0.08996552	-0.065741375	-0.018117506	-0.029719314	0.0017613376	-0.005071919	-0.0060801697	0.0006400117	-0.035590246	-0.062613755
ENSMUSG00000085275	0.019206528	0.0063405884	-0.06311892	0.011789086	-0.02561059	-0.013176324	0.04352512	0.094653964	-0.028975237	0.0039947787	-0.018219808	0.053854533
ENSMUSG00000026888	0.014153717	0.025598563	-0.07913125	0.014395693	-0.033919882	0.021403156	0.022794202	0.10235018	0.011055524	0.00027979954	-0.009760092	0.044042226
ENSMUSG00000005882	0.035730105	0.15713336	0.025371633	0.1770729	0.00713255	0.061438978	0.05532006	0.1050488	0.022689361	0.0062489295	0.022769704	0.09078925
ENSMUSG00000029601	0.062582515	0.10481316	0.08492782	0.053787444	0.01932514	0.03272802	0.068929926	0.06556642	0.017351635	0.0087061785	0.021549527	0.076823294
ENSMUSG00000079462	0.029355554	-0.02779136	-0.037245035	-0.037108473	-0.016300708	-0.036755167	0.033982266	0.053359978	0.023839226	0.0073183253	0.019260507	-0.046410404
ENSMUSG00000048776	0.028526215	0.011039314	-0.02950854	0.021525891	0.010544604	0.0052903257	0.042584375	0.08394899	0.0093231145	0.0070666163	0.009637896	0.030204067
ENSMUSG00000034127	0.034562726	-0.05310532	0.0111598885	-0.07409233	0.0073578595	-0.03285041	0.05255744	0.0022981837	0.018260173	0.01650373	0.018316668	-0.03791493
ENSMUSG00000091216	0.027105048	-0.028323205	0.12528682	0.036725722	0.022289779	-0.03131985	-0.00074423547	0.014585486	0.023287537	0.011754191	0.01241044	-0.035021607
ENSMUSG00000112053	0.029300973	-0.042915575	-0.1087592	0.0056057787	-0.018989451	-0.05523522	0.048645385	0.02847875	0.031266045	0.014202605	0.0019021695	0.0021930186
ENSMUSG00000097827	-0.06371601	-0.53186345	-0.12579556	-0.49133253	-0.0025489053	0.011756163	0.018987397	-0.27529687	-0.019472387	-0.08701777	0.012137685	-0.013709432
ENSMUSG00000107985	0.039585583	-0.0065435544	0.0064141676	-0.009699941	0.008910157	-0.056267824	0.053527664	0.03201395	0.018277017	-0.0011005229	0.030571666	-0.030908057
ENSMUSG00000025486	0.040842135	0.15422224	0.09254441	0.13795675	0.012090063	0.07944738	0.058461156	0.10719154	0.023119273	0.008067006	0.0124226445	0.08678286
ENSMUSG00000035561	0.054225672	0.019490657	0.03975734	0.012335446	0.0149923675	-0.01413806	0.058290645	0.065151304	0.025244292	0.010259366	0.017315628	0.03348245
ENSMUSG00000027714	0.03851783	0.12748425	0.17295654	0.10478052	0.001787966	0.04201191	0.028456114	0.10133227	0.010395632	0.0065951617	0.015473002	0.07782056
ENSMUSG00000060962	0.060991455	-0.038552452	0.009825864	-0.07161871	0.0019044351	-0.03003997	0.06478988	0.0022145163	0.017456282	0.012031517	0.039502565	-0.03566615
ENSMUSG00000025557	0.023868239	0.061167978	-0.0125977965	0.15079851	-0.025084285	0.009520302	0.035886887	0.06837295	0.010473494	0.008151271	0.012210977	0.053719893
ENSMUSG00000086736	-0.034956556	-0.10058194	-0.01413251	-0.035385426	-0.026635515	0.0032255715	0.010216757	-0.10070086	-0.06389298	-0.007837674	-0.039812885	-0.021038331
ENSMUSG00000048497	0.05920126	0.10596497	0.13947938	0.11605526	0.010606472	0.061704095	0.06536545	0.09496044	0.022983728	0.008420271	0.019158164	0.06822099
ENSMUSG00000100198	0.057647664	-0.029578371	-0.0010214618	-0.07007477	0.014880557	-0.022693336	0.05722615	0.060855243	0.013325267	0.005300498	0.0382866	-0.04984427
ENSMUSG00000096717	-0.008497219	-0.058317326	-0.106115334	-0.10017441	-0.029249806	-0.029857347	-0.04847416	-0.07067563	-0.024904573	-0.010293097	-0.07231736	-0.07523646
ENSMUSG00000031485	0.03806143	0.15468706	0.14470932	0.12893212	0.012432969	0.06504292	0.045988824	0.10328337	0.023021402	0.0061829924	0.014063256	0.07571629
ENSMUSG00000047747	0.015032668	0.01240923	-0.025069913	0.03033275	-0.023971526	0.0077700927	0.030959183	0.09316672	0.02273289	-0.00015461697	0.014702492	0.052973013
ENSMUSG00000022621	0.047524963	0.12105038	0.00022122219	0.040853903	0.0120658055	0.050990593	0.053275276	0.08234296	0.024269221	0.0039058565	0.02037433	0.06464554
ENSMUSG00000050931	0.04465644	-0.05627425	0.03264334	-0.08268808	0.0027206645	-0.056947697	0.058462687	-0.0022522423	0.025516432	0.011504839	0.03817902	-0.023071611
ENSMUSG00000079554	0.037006866	-0.05507954	-0.039743852	-0.051648613	0.000107544896	-0.038945716	0.040523544	0.022391416	0.01913318	0.017079411	0.022362357	-0.008539229
ENSMUSG00000108736	-0.019438796	-0.07881777	-0.07232509	-0.09834426	-0.041661587	-0.035715	0.0028924348	0.02413071	-0.019259883	-0.0016454624	0.018352006	-0.022808371
ENSMUSG00000022639	0.019525904	0.096976705	-0.050566737	0.075638354	-0.022484032	0.020090628	0.01612042	0.075352095	0.013128842	0.0064157774	-0.0058768624	0.0662833
ENSMUSG00000041426	0.037932567	0.13526599	0.054538365	0.14101446	0.0013155184	0.04566601	0.047489416	0.07836902	0.021916084	0.010418052	0.014756375	0.08028029
ENSMUSG00000032691	0.0540369	-0.025831722	0.046327934	-0.07475368	0.009675687	-0.05131201	0.062302094	-0.00620595	0.016586985	0.007117511	0.033476204	-0.04173032
